15	61813600	61456500	62039800	693.253
12	110856000	110842000	111175000	679.884
12	38736800	38502300	38995200	674.627
2A	61948200	61636100	62322900	668.971
17	37115500	37097400	37676000	664.453
12	38748100	38511300	38995200	656.442
16	30689400	30677600	30973900	653.388
12	110647000	110338000	110839000	652.037
15	41299800	41161800	41467000	651.862
16	30725800	30677600	31012200	649.861
12	124214000	124020000	124292000	648.275
16	71794700	71550600	71981500	645.671
15	41294400	41161800	41454800	643.516
12	38760800	38522200	38995200	641.284
12	38754100	38518100	38995200	640.739
2A	61868300	61503900	62266400	636.672
2A	61926500	61564800	62315700	635.232
7	5295220	5173250	5387890	634.995
17	37013900	36620800	37068200	630.721
12	110674000	110484000	110840000	630.342
2B	131688000	131555000	131739000	627.39
2A	61986500	61659200	62326000	626.434
2A	61718100	61465100	62100900	622.757
12	38784900	38548800	38995600	622.407
1	152518000	152178000	152967000	619.041
16	72122800	71963700	72274200	617.442
16	71815700	71575400	71990100	616.821
2A	62282600	61874800	62591700	616.13
2A	62275600	61873000	62581100	615.452
2A	62045900	61671100	62332100	614.786
2A	61996200	61659200	62326000	612.314
2A	62437000	62146800	62631600	611.101
16	72097200	71943300	72232900	607.934
16	71748000	71496200	71959500	606.994
16	72001600	71838900	72196400	606.985
2A	62102700	61721100	62369200	605.421
12	38711000	38416800	38940100	603.865
16	71962500	71752400	72118800	603.697
12	111926000	111411000	112128000	602.568
2A	62155100	61785700	62461000	601.799
16	71902100	71628800	72016200	601.445
2A	62077000	61690200	62336200	600.197
16	72066600	71932800	72218500	598.275
2A	62187700	61821400	62500600	598.199
2A	62261200	61865700	62543400	597.393
12	111954000	111415000	112130000	596.426
12	38768600	38527500	38995200	595.958
12	40456100	40214500	40662800	595.201
16	71992000	71819900	72189100	594.435
12	124191000	123989000	124289000	593.697
16	30057500	29927900	30203300	591.997
12	40313600	40048200	40539800	590.238
12	111135000	110844000	111179000	588.968
2A	62054100	61671100	62332100	588.79
12	111176000	110844000	111179000	588.324
16	72184300	71987300	72298100	585.839
2A	62229400	61833400	62516200	585.579
16	71840200	71577600	72001600	583.871
12	40278600	40047200	40531600	582.342
2A	62197500	61826100	62508400	581.759
2A	62247800	61860700	62528500	580.237
2B	131675000	131554000	131739000	578.96
2B	131731000	131579000	131739000	578.952
2A	62071400	61684700	62334300	576.249
12	40254200	39985400	40514800	575.919
2A	61824200	61479800	62186000	575.706
12	111153000	110844000	111179000	574.807
15	41404100	41271200	41726600	573.87
2A	62161800	61806400	62488300	573.039
2A	62178600	61816100	62498000	572.939
12	40359600	40166100	40632600	572.62
12	40265700	40023800	40529100	572.562
16	30774800	30677600	31064000	572.432
16	30825500	30677600	31128400	570.825
6	86117300	86020700	86306900	570.811
16	71910700	71633300	72018300	570
12	124182000	123975000	124287000	569.782
2A	62121300	61748400	62410700	569.102
2A	61915400	61536300	62315200	567.965
12	111872000	111392000	112104000	567.419
2A	62094600	61707400	62338300	567.308
2A	62089600	61701300	62337700	567.016
16	72154600	71979600	72289400	566.271
12	38683900	38390000	38867400	565.619
7	5262300	5157180	5378760	564.916
2A	62009800	61660300	62326000	563.242
12	112078000	111752000	112264000	562.543
12	111792000	111320000	112074000	560.905
12	1.12e+08	111442000	112142000	559.928
2B	131657000	131537000	131739000	558.798
2A	62062000	61672500	62332500	557.999
7	5255410	5156450	5377380	557.895
2A	61515900	61415300	61907200	556.655
12	112045000	111559000	112155000	556.292
16	30752300	30677600	31028900	554.27
6	44111900	43932000	44309400	554.184
2A	61790400	61469300	62158300	552.76
12	38703800	38406900	38891200	552.754
12	112237000	112069000	112675000	551.888
12	39656800	39426500	39899700	551.839
17	66682600	66450500	66702500	551.556
16	71935200	71703100	72076200	551.389
12	110609000	110322000	110827000	549.733
12	40062100	39880700	40334100	546.575
16	30575500	30447700	30677600	546.557
16	72036700	71922500	72199900	544.737
16	71887800	71618300	72012900	543.259
12	40349500	40152300	40611500	541.375
12	38776400	38539400	38995600	541.228
16	30641800	30491500	30689400	540.664
16	71979200	71786900	72151500	539.43
12	39677400	39436600	39925000	539.247
2A	62138000	61751800	62411300	537.201
15	61920500	61532800	62101700	537.08
16	71875100	71610600	72011000	536.821
2A	61905200	61512300	62311900	536.165
12	110628000	110338000	110836000	536.002
16	72115300	71959500	72250000	534.883
1	128227000	128076000	128637000	533.716
2A	61592700	61443700	61936700	533.03
16	71881100	71613500	72012100	532.45
12	111143000	110844000	111179000	531.936
16	71986300	71803900	72182900	531.906
15	82903100	82817000	83045200	531.879
6	44062500	43880800	44277700	531.817
15	41305100	41171600	41484600	531.12
1	128191000	128076000	128613000	530.995
12	111717000	111309000	112071000	530.648
12	124200000	124006000	124290000	529.928
2B	131647000	131523000	131739000	528.077
6	44103400	43928700	44307700	527.761
12	110845000	110842000	111175000	526.827
1	32067400	31990400	32385700	525.896
12	38796800	38591100	38998400	525.64
12	38695800	38396600	38871900	525.558
16	30597700	30491500	30689400	525.33
15	41284100	41160000	41422500	524.687
1	128079000	128072000	128355000	524.403
15	41358900	41247400	41613400	523.89
12	112177000	112059000	112584000	522.964
2A	62263900	61865700	62558100	522.679
7	5316600	5176780	5389560	522.319
16	72016600	71897300	72196800	521.938
12	112118000	111909000	112376000	521.752
12	110663000	110428000	110840000	521.61
16	71765100	71503800	71965600	521.586
16	71916800	71644100	72019600	521.273
2A	61938200	61607700	62320500	520.378
12	40199700	39947100	40379100	520.319
17	38252300	37872800	38480900	520.133
12	38812200	38600400	38998400	519.433
12	111943000	111411000	112130000	519.23
12	110689000	110492000	110840000	518.413
16	71715900	71482700	71943300	517.775
12	110594000	110268000	110821000	515.639
15	46624300	46118200	46736100	515.369
